
번호	한국어	일본어	영어	프랑스어	독일어	중국어	스페인어	이탈리아어
0110	또도가스	マタドガス	Weezing	Smogogo	Smogmog	雙彈瓦斯	Weezing	Weezing
0111	뿔카노	サイホーン	Rhyhorn	Rhinocorne	Rihorn	獨角犀牛	Rhyhorn	Rhyhorn
0112	코뿌리	サイドン	Rhydon	Rhinoféros	Rizeros	鑽角犀獸	Rhydon	Rhydon
0113	럭키	ラッキー	Chansey	Leveinard	Chaneira	吉利蛋	Chansey	Chansey
0114	덩쿠리	モンジャラ	Tangela	Saquedeneu	Tangela	蔓藤怪	Tangela	Tangela
0115	캥카	ガルーラ	Kangaskhan	Kangourex	Kangama	袋獸	Kangaskhan	Kangaskhan
0116	쏘드라	タッツー	Horsea	Hypotrempe	Seeper	墨海馬	Horsea	Horsea
0117	시드라	シードラ	Seadra	Hypocéan	Seemon	海刺龍	Seadra	Seadra
0118	콘치	トサキント	Goldeen	Poissirène	Goldini	角金魚	Goldeen	Goldeen
0119	왕콘치	アズマオウ	Seaking	Poissoroy	Golking	金魚王	Seaking	Seaking
0120	별가사리	ヒトデマン	Staryu	Stari	Sterndu	海星星	Staryu	Staryu
0121	아쿠스타	スターミー	Starmie	Staross	Starmie	寶石海星	Starmie	Starmie
0122	마임맨	バリヤード	Mr. Mime	M. Mime	Pantimos	魔牆人偶	Mr. Mime	Mr. Mime
0123	스라크	ストライク	Scyther	Insécateur	Sichlor	飛天螳螂	Scyther	Scyther
0124	루주라	ルージュラ	Jynx	Lippoutou	Rossana	迷唇姐	Jynx	Jynx
0125	에레브	エレブー	Electabuzz	Élektek	Elektek	電擊獸	Electabuzz	Electabuzz
0126	마그마	ブーバー	Magmar	Magmar	Magmar	鴨嘴火獸	Magmar	Magmar
0127	쁘사이저	カイロス	Pinsir	Scarabrute	Pinsir	凱羅斯	Pinsir	Pinsir
0128	켄타로스	ケンタロス	Tauros	Tauros	Tauros	肯泰羅	Tauros	Tauros
0129	잉어킹	コイキング	Magikarp	Magicarpe	Karpador	鯉魚王	Magikarp	Magikarp
0130	갸라도스	ギャラドス	Gyarados	Léviator	Garados	暴鯉龍	Gyarados	Gyarados
0131	라프라스	ラプラス	Lapras	Lokhlass	Lapras	拉普拉斯	Lapras	Lapras
0132	메타몽	メタモン	Ditto	Métamorph	Ditto	百變怪	Ditto	Ditto
0133	이브이	イーブイ	Eevee	Évoli	Evoli	伊布	Eevee	Eevee
0134	샤미드	シャワーズ	Vaporeon	Aquali	Aquana	水伊布	Vaporeon	Vaporeon
0135	쥬피썬더	サンダース	Jolteon	Voltali	Blitza	雷伊布	Jolteon	Jolteon
0136	부스터	ブースター	Flareon	Pyroli	Flamara	火伊布	Flareon	Flareon
0137	폴리곤	ポリゴン	Porygon	Porygon	Porygon	多邊獸	Porygon	Porygon
0138	암나이트	オムナイト	Omanyte	Amonita	Amonitas	菊石獸	Omanyte	Omanyte
0139	암스타	オムスター	Omastar	Amonistar	Amoroso	多刺菊石獸	Omastar	Omastar
0140	투구	カブト	Kabuto	Kabuto	Kabuto	化石盔	Kabuto	Kabuto
0141	투구푸스	カブトプス	Kabutops	Kabutops	Kabutops	鐮刀盔	Kabutops	Kabutops
0142	프테라	プテラ	Aerodactyl	Ptéra	Aerodactyl	化石翼龍	Aerodactyl	Aerodactyl
0143	잠만보	カビゴン	Snorlax	Ronflex	Relaxo	卡比獸	Snorlax	Snorlax
0144	프리져	フリーザー	Articuno	Artikodin	Arktos	急凍鳥	Articuno	Articuno
0145	썬더	サンダー	Zapdos	Électhor	Zapdos	閃電鳥	Zapdos	Zapdos
0146	파이어	ファイヤー	Moltres	Sulfura	Lavados	火焰鳥	Moltres	Moltres
0147	미뇽	ミニリュウ	Dratini	Minidraco	Dratini	迷你龍	Dratini	Dratini
0148	신뇽	ハクリュー	Dragonair	Draco	Dragonir	哈克龍	Dragonair	Dragonair
0149	망나뇽	カイリュー	Dragonite	Dracolosse	Dragoran	快龍	Dragonite	Dragonite
0150	뮤츠	ミュウツー	Mewtwo	Mewtwo	Mewtu	超夢	Mewtwo	Mewtwo
0151	뮤	ミュウ	Mew	Mew	Mew	夢幻	Mew	Mew
0152	치코리타	チコリータ	Chikorita	Germignon	Endivie	菊草葉	Chikorita	Chikorita
0153	베이리프	ベイリーフ	Bayleef	Macronium	Lorblatt	月桂葉	Bayleef	Bayleef
0154	메가니움	メガニウム	Meganium	Méganium	Meganie	大竺葵	Meganium	Meganium
0155	브케인	ヒノアラシ	Cyndaquil	Héricendre	Feurigel	火球鼠	Cyndaquil	Cyndaquil
0156	마그케인	マグマラシ	Quilava	Feurisson	Igelavar	火岩鼠	Quilava	Quilava
0157	블레이범	バクフーン	Typhlosion	Typhlosion	Tornupto	火爆獸	Typhlosion	Typhlosion
0158	리아코	ワニノコ	Totodile	Kaiminus	Karnimani	小鋸鱷	Totodile	Totodile
0159	엘리게이	アリゲイツ	Croconaw	Crocrodil	Tyracroc	藍鱷	Croconaw	Croconaw
0160	장크로다일	オーダイル	Feraligatr	Aligatueur	Impergator	大力鱷	Feraligatr	Feraligatr
0161	꼬리선	オタチ	Sentret	Fouinette	Wiesor	尾立	Sentret	Sentret
0162	다꼬리	オオタチ	Furret	Fouinar	Wiesenior	大尾立	Furret	Furret
0163	부우부	ホーホー	Hoothoot	Hoothoot	Hoothoot	咕咕	Hoothoot	Hoothoot
0164	야부엉	ヨルノズク	Noctowl	Noarfang	Noctuh	貓頭夜鷹	Noctowl	Noctowl
0165	레디바	レディバ	Ledyba	Coxy	Ledyba	芭瓢蟲	Ledyba	Ledyba
0166	레디안	レディアン	Ledian	Coxyclaque	Ledian	安瓢蟲	Ledian	Ledian
0167	페이검	イトマル	Spinarak	Mimigal	Webarak	圓絲蛛	Spinarak	Spinarak
0168	아리아도스	アリアドス	Ariados	Migalos	Ariados	阿利多斯	Ariados	Ariados
0169	크로뱃	クロバット	Crobat	Nostenfer	Iksbat	叉字蝠	Crobat	Crobat
0170	초라기	チョンチー	Chinchou	Loupio	Lampi	燈籠魚	Chinchou	Chinchou
0171	랜턴	ランターン	Lanturn	Lanturn	Lanturn	電燈怪	Lanturn	Lanturn
0172	피츄	ピチュー	Pichu	Pichu	Pichu	皮丘	Pichu	Pichu
0173	삐	ピィ	Cleffa	Mélo	Pii	皮寶寶	Cleffa	Cleffa
0174	푸푸린	ププリン	Igglybuff	Toudoudou	Fluffeluff	寶寶丁	Igglybuff	Igglybuff
0175	토게피	トゲピー	Togepi	Togepi	Togepi	波克比	Togepi	Togepi
0176	토게틱	トゲチック	Togetic	Togetic	Togetic	波克基古	Togetic	Togetic
0177	네이티	ネイティ	Natu	Natu	Natu	天然雀	Natu	Natu
0178	네이티오	ネイティオ	Xatu	Xatu	Xatu	天然鳥	Xatu	Xatu
0179	메리프	メリープ	Mareep	Wattouat	Voltilamm	咩利羊	Mareep	Mareep
0180	보송송	モココ	Flaaffy	Lainergie	Waaty	茸茸羊	Flaaffy	Flaaffy
0181	전룡	デンリュウ	Ampharos	Pharamp	Ampharos	電龍	Ampharos	Ampharos
0182	아르코	キレイハナ	Bellossom	Joliflor	Blubella	美麗花	Bellossom	Bellossom
0183	마릴	マリル	Marill	Marill	Marill	瑪力露	Marill	Marill
0184	마릴리	マリルリ	Azumarill	Azumarill	Azumarill	瑪力露麗	Azumarill	Azumarill
0185	꼬지모	ウソッキー	Sudowoodo	Simularbre	Mogelbaum	樹才怪	Sudowoodo	Sudowoodo
0186	왕구리	ニョロトノ	Politoed	Tarpaud	Quaxo	蚊香蛙皇	Politoed	Politoed
0187	통통코	ハネッコ	Hoppip	Granivol	Hoppspross	毽子草	Hoppip	Hoppip
0188	두코	ポポッコ	Skiploom	Floravol	Hubelupf	毽子花	Skiploom	Skiploom
0189	솜솜코	ワタッコ	Jumpluff	Cotovol	Papungha	毽子棉	Jumpluff	Jumpluff
0190	에이팜	エイパム	Aipom	Capumain	Griffel	長尾怪手	Aipom	Aipom
0191	해너츠	ヒマナッツ	Sunkern	Tournegrin	Sonnkern	向日種子	Sunkern	Sunkern
0192	해루미	キマワリ	Sunflora	Héliatronc	Sonnflora	向日花怪	Sunflora	Sunflora
0193	왕자리	ヤンヤンマ	Yanma	Yanma	Yanma	蜻蜻蜓	Yanma	Yanma
0194	우파	ウパー	Wooper	Axoloto	Felino	烏波	Wooper	Wooper
0195	누오	ヌオー	Quagsire	Maraiste	Morlord	沼王	Quagsire	Quagsire
0196	에브이	エーフィ	Espeon	Mentali	Psiana	太陽伊布	Espeon	Espeon
0197	블래키	ブラッキー	Umbreon	Noctali	Nachtara	月亮伊布	Umbreon	Umbreon
0198	니로우	ヤミカラス	Murkrow	Cornèbre	Kramurx	黑暗鴉	Murkrow	Murkrow
0199	야도킹	ヤドキング	Slowking	Roigada	Laschoking	呆呆王	Slowking	Slowking
0200	무우마	ムウマ	Misdreavus	Feuforêve	Traunfugil	夢妖	Misdreavus	Misdreavus
0201	안농	アンノーン	Unown	Zarbi	Icognito	未知圖騰	Unown	Unown
0202	마자용	ソーナンス	Wobbuffet	Qulbutoké	Woingenau	果然翁	Wobbuffet	Wobbuffet
0203	키링키	キリンリキ	Girafarig	Girafarig	Girafarig	麒麟奇	Girafarig	Girafarig
0204	피콘	クヌギダマ	Pineco	Pomdepik	Tannza	榛果球	Pineco	Pineco
0205	쏘콘	フォレトス	Forretress	Foretress	Forstellka	佛烈托斯	Forretress	Forretress
0206	노고치	ノコッチ	Dunsparce	Insolourdo	Dummisel	土龍弟弟	Dunsparce	Dunsparce
0207	글라이거	グライガー	Gligar	Scorplane	Skorgla	天蠍	Gligar	Gligar
0208	강철톤	ハガネール	Steelix	Steelix	Stahlos	大鋼蛇	Steelix	Steelix
0209	블루	ブルー	Snubbull	Snubbull	Snubbull	布魯	Snubbull	Snubbull
0210	그랑블루	グランブル	Granbull	Granbull	Granbull	布魯皇	Granbull	Granbull
0211	침바루	ハリーセン	Qwilfish	Qwilfish	Baldorfish	千針魚	Qwilfish	Qwilfish
0212	핫삼	ハッサム	Scizor	Cizayox	Scherox	巨鉗螳螂	Scizor	Scizor
0213	단단지	ツボツボ	Shuckle	Caratroc	Pottrott	壺壺	Shuckle	Shuckle
0214	헤라크로스	ヘラクロス	Heracross	Scarhino	Skaraborn	赫拉克羅斯	Heracross	Heracross
0215	포푸니	ニューラ	Sneasel	Farfuret	Sniebel	狃拉	Sneasel	Sneasel
0216	깜지곰	ヒメグマ	Teddiursa	Teddiursa	Teddiursa	熊寶寶	Teddiursa	Teddiursa
0217	링곰	リングマ	Ursaring	Ursaring	Ursaring	圈圈熊	Ursaring	Ursaring
0218	마그마그	マグマッグ	Slugma	Limagma	Schneckmag	熔岩蟲	Slugma	Slugma
0219	마그카르고	マグカルゴ	Magcargo	Volcaropod	Magcargo	熔岩蝸牛	Magcargo	Magcargo
0220	꾸꾸리	ウリムー	Swinub	Marcacrin	Quiekel	小山豬	Swinub	Swinub
0221	메꾸리	イノムー	Piloswine	Cochignon	Keifel	長毛豬	Piloswine	Piloswine
0222	코산호	サニーゴ	Corsola	Corayon	Corasonn	太陽珊瑚	Corsola	Corsola
0223	총어	テッポウオ	Remoraid	Rémoraid	Remoraid	鐵炮魚	Remoraid	Remoraid
0224	대포무노	オクタン	Octillery	Octillery	Octillery	章魚桶	Octillery	Octillery
0225	딜리버드	デリバード	Delibird	Cadoizo	Botogel	信使鳥	Delibird	Delibird
0226	만타인	マンタイン	Mantine	Démanta	Mantax	巨翅飛魚	Mantine	Mantine
0227	무장조	エアームド	Skarmory	Airmure	Panzaeron	盔甲鳥	Skarmory	Skarmory
0228	델빌	デルビル	Houndour	Malosse	Hunduster	戴魯比	Houndour	Houndour
0229	헬가	ヘルガー	Houndoom	Démolosse	Hundemon	黑魯加	Houndoom	Houndoom
0230	킹드라	キングドラ	Kingdra	Hyporoi	Seedraking	刺龍王	Kingdra	Kingdra
0231	코코리	ゴマゾウ	Phanpy	Phanpy	Phanpy	小小象	Phanpy	Phanpy
0232	코리갑	ドンファン	Donphan	Donphan	Donphan	頓甲	Donphan	Donphan
0233	폴리곤2	ポリゴン２	Porygon2	Porygon2	Porygon2	多邊獸Ⅱ	Porygon2	Porygon2
0234	노라키	オドシシ	Stantler	Cerfrousse	Damhirplex	驚角鹿	Stantler	Stantler
0235	루브도	ドーブル	Smeargle	Queulorior	Farbeagle	圖圖犬	Smeargle	Smeargle
0236	배루키	バルキー	Tyrogue	Debugant	Rabauz	無畏小子	Tyrogue	Tyrogue
0237	카포에라	カポエラー	Hitmontop	Kapoera	Kapoera	戰舞郎	Hitmontop	Hitmontop
0238	뽀뽀라	ムチュール	Smoochum	Lippouti	Kussilla	迷唇娃	Smoochum	Smoochum
0239	에레키드	エレキッド	Elekid	Élekid	Elekid	電擊怪	Elekid	Elekid
0240	마그비	ブビィ	Magby	Magby	Magby	鴨嘴寶寶	Magby	Magby
0241	밀탱크	ミルタンク	Miltank	Écrémeuh	Miltank	大奶罐	Miltank	Miltank
0242	해피너스	ハピナス	Blissey	Leuphorie	Heiteira	幸福蛋	Blissey	Blissey
0243	라이코	ライコウ	Raikou	Raikou	Raikou	雷公	Raikou	Raikou
0244	앤테이	エンテイ	Entei	Entei	Entei	炎帝	Entei	Entei
0245	스이쿤	スイクン	Suicune	Suicune	Suicune	水君	Suicune	Suicune
0246	애버라스	ヨーギラス	Larvitar	Embrylex	Larvitar	幼基拉斯	Larvitar	Larvitar
0247	데기라스	サナギラス	Pupitar	Ymphect	Pupitar	沙基拉斯	Pupitar	Pupitar
0248	마기라스	バンギラス	Tyranitar	Tyranocif	Despotar	班基拉斯	Tyranitar	Tyranitar
0249	루기아	ルギア	Lugia	Lugia	Lugia	洛奇亞	Lugia	Lugia
0250	칠색조	ホウオウ	Ho-Oh	Ho-Oh	Ho-Oh	鳳王	Ho-Oh	Ho-Oh
0251	세레비	セレビィ	Celebi	Celebi	Celebi	時拉比	Celebi	Celebi
0252	나무지기	キモリ	Treecko	Arcko	Geckarbor	木守宮	Treecko	Treecko
0253	나무돌이	ジュプトル	Grovyle	Massko	Reptain	森林蜥蜴	Grovyle	Grovyle
0254	나무킹	ジュカイン	Sceptile	Jungko	Gewaldro	蜥蜴王	Sceptile	Sceptile
0255	아차모	アチャモ	Torchic	Poussifeu	Flemmli	火稚雞	Torchic	Torchic
0256	영치코	ワカシャモ	Combusken	Galifeu	Jungglut	力壯雞	Combusken	Combusken
0257	번치코	バシャーモ	Blaziken	Braségali	Lohgock	火焰雞	Blaziken	Blaziken
0258	물짱이	ミズゴロウ	Mudkip	Gobou	Hydropi	水躍魚	Mudkip	Mudkip
0259	늪짱이	ヌマクロー	Marshtomp	Flobio	Moorabbel	沼躍魚	Marshtomp	Marshtomp
0260	대짱이	ラグラージ	Swampert	Laggron	Sumpex	巨沼怪	Swampert	Swampert
0261	포챠나	ポチエナ	Poochyena	Medhyèna	Fiffyen	土狼犬	Poochyena	Poochyena
0262	그라에나	グラエナ	Mightyena	Grahyèna	Magnayen	大狼犬	Mightyena	Mightyena
0263	지그제구리	ジグザグマ	Zigzagoon	Zigzaton	Zigzachs	蛇紋熊	Zigzagoon	Zigzagoon
0264	직구리	マッスグマ	Linoone	Linéon	Geradaks	直衝熊	Linoone	Linoone
0265	개무소	ケムッソ	Wurmple	Chenipotte	Waumpel	刺尾蟲	Wurmple	Wurmple
0266	실쿤	カラサリス	Silcoon	Armulys	Schaloko	甲殼繭	Silcoon	Silcoon
0267	뷰티플라이	アゲハント	Beautifly	Charmillon	Papinella	狩獵鳳蝶	Beautifly	Beautifly
0268	카스쿤	マユルド	Cascoon	Blindalys	Panekon	盾甲繭	Cascoon	Cascoon
0269	독케일	ドクケイル	Dustox	Papinox	Pudox	毒粉蛾	Dustox	Dustox
0270	연꽃몬	ハスボー	Lotad	Nénupiot	Loturzel	蓮葉童子	Lotad	Lotad
0271	로토스	ハスブレロ	Lombre	Lombre	Lombrero	蓮帽小童	Lombre	Lombre
0272	로파파	ルンパッパ	Ludicolo	Ludicolo	Kappalores	樂天河童	Ludicolo	Ludicolo
0273	도토링	タネボー	Seedot	Grainipiot	Samurzel	橡實果	Seedot	Seedot
0274	잎새코	コノハナ	Nuzleaf	Pifeuil	Blanas	長鼻葉	Nuzleaf	Nuzleaf
0275	다탱구	ダーテング	Shiftry	Tengalice	Tengulist	狡猾天狗	Shiftry	Shiftry
0276	테일로	スバメ	Taillow	Nirondelle	Schwalbini	傲骨燕	Taillow	Taillow
0277	스왈로	オオスバメ	Swellow	Hélédelle	Schwalboss	大王燕	Swellow	Swellow
0278	갈모매	キャモメ	Wingull	Goélise	Wingull	長翅鷗	Wingull	Wingull
0279	패리퍼	ペリッパー	Pelipper	Bekipan	Pelipper	大嘴鷗	Pelipper	Pelipper
0280	랄토스	ラルトス	Ralts	Tarsal	Trasla	拉魯拉絲	Ralts	Ralts
